,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.1225625,0.0865,0.84139375,0.801725,,,0.7086717261904636,0.6462687499999934,0,0,1.0,1.0,233623.35553264618
1,2,0.099375,0.06025,0.82859375,0.78915,,,0.6977225446428299,0.6363541666666608,0,0,1.0,1.0,192210.73078870773
2,3,0.0983125,0.06825,0.813525,0.77615,,,0.6655409226190584,0.6103785714285641,0,0,1.0,1.0,203576.68127322197
3,4,0.109125,0.0685,0.836025,0.791925,,,0.7089600446428247,0.6414979166666634,0,0,1.0,1.0,236390.6783118248
4,5,0.1110625,0.0685,0.8376875,0.79405,,,0.7081422619047321,0.6406723214285648,0,0,1.0,1.0,221524.66400146484
