,fold,alpha,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.9,0.08883248730964467,0.07707910750507099,0.666497461928934,0.6636663286004056,0.24534686971235428,0.23746740075340547,0,0,1.0,1.0,215.38621592521667
1,2,0.3,0.08475006343567622,0.09340101522842639,0.6649644760213144,0.6697969543147209,0.24176846582327677,0.2517766497461936,0,0,1.0,1.0,212.94959163665771
2,3,0.9,0.02461304237503172,0.023350253807106598,0.6383532098452169,0.6440355329949239,0.1834076436969112,0.19149141890258617,0,0,1.0,1.0,212.8517189025879
3,4,0.9,0.023090586145648313,0.018274111675126905,0.6141207815275311,0.6110406091370558,0.15081983059653878,0.14488759970993406,0,0,1.0,1.0,190.53120183944702
4,5,0.7,0.01623953311342299,0.017258883248730966,0.5955024105556965,0.5935279187817258,0.12679885453293335,0.12438965433889226,0,0,1.0,1.0,190.23685264587402
