,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.11878172588832488,0.11866125760649088,0.6764593908629442,0.6750760649087221,0.26861252115059325,0.26654109919830027,0,0,1.0,1.0,16939.388204336166
1,2,0.11799035777721391,0.1218274111675127,0.6757485409794468,0.6779187817258884,0.2672273172146312,0.2720812182741122,0,0,1.0,1.0,16156.387433290482
2,3,0.021568129916264906,0.024365482233502538,0.6134229890890637,0.6138324873096447,0.14915237853578545,0.15155910079767887,0,0,1.0,1.0,16573.214673042297
3,4,0.11824410048211113,0.12081218274111676,0.675589951788886,0.6785532994923857,0.26723940020057874,0.2720328740633315,0,0,1.0,1.0,12879.401114940643
4,5,0.12230398376046689,0.10456852791878173,0.6779053539710733,0.6692893401015229,0.2715771921557263,0.2546773023930389,0,0,1.0,1.0,11949.53624868393
