,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.0017766497461928934,0.0010141987829614604,0.7597081218274112,0.7574163286004056,0.14669144307469137,0.14513426060079226,3911,980,0.007360406091370564,0.006085192697768749,39.59731411933899
1,2,0.0,0.0,0.7588017000761228,0.7559644670050761,0.12850799289520312,0.13067681895093106,3941,985,0.0,0.0,41.69221901893616
2,3,0.0010149708195889369,0.0020304568527918783,0.7592298908906369,0.7539340101522842,0.1532491149212786,0.14270727580372292,3923,980,0.00456736868815022,0.005076142131979711,41.507564544677734
3,4,0.0,0.0,0.7581832022329358,0.7563451776649747,0.12273957540387269,0.11243654822335053,3941,985,0.0,0.0,41.926076889038086
4,5,0.0,0.0,0.7598483887338239,0.7567893401015229,0.12604245961261842,0.1188663282571915,3941,985,0.0,0.0,41.69943833351135
