,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.140875,0.0885,0.81724375,0.780175,,,0.6719018601190683,0.6137954365079262,0,0,1.0,1.0,258604.29643654823
1,2,0.090875,0.06225,0.8122875,0.779625,,,0.665936532738093,0.6171773809523744,0,0,1.0,1.0,222179.35387444496
2,3,0.10425,0.06575,0.8157875,0.7724,,,0.6696262648809653,0.6038252976190386,0,0,1.0,1.0,202614.9485359192
3,4,0.164,0.11125,0.8387375,0.799425,,,0.7084220238095185,0.6464508928571365,0,0,1.0,1.0,252963.5254831314
4,5,0.0855625,0.0465,0.80009375,0.755225,,,0.6547387400793666,0.589222321428563,0,0,1.0,1.0,155406.51827406883
