,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.31425,0.1895,0.892425,0.846825,,,0.7731998511904846,0.690240773809521,2268,630,0.85825,0.8425,8278.804023504257
1,2,0.370625,0.24125,0.8989875,0.8583,,,0.7900186011904855,0.7162065476190445,1556,432,0.9027499999999999,0.892,8278.064952611923
2,3,0.2145,0.14125,0.8701125,0.831075,,,0.7281180059523936,0.6591577380952337,2696,740,0.8315,0.815,8084.0094084739685
3,4,0.204125,0.14325,0.86391875,0.8292,,,0.7190776785714338,0.6594880952380907,2511,659,0.8430625,0.83525,8093.802086114883
4,5,0.3830625,0.24125,0.9025875,0.85625,,,0.79684672619048,0.7130580357142811,1488,428,0.907,0.893,8270.867963790894
