,experiment,fold,delta,adi
0,5,1,0.1,0.5435056746532156
1,5,1,0.01,0.39470365699873894
2,5,2,0.1,0.45775535939470363
3,5,2,0.01,0.3644388398486759
4,5,3,0.1,0.48675914249684743
5,5,3,0.01,0.32786885245901637
6,5,4,0.1,0.13240857503152584
7,5,4,0.01,0.08196721311475409
8,5,5,0.1,0.18663303909205547
9,5,5,0.01,0.029003783102143757
