,experiment,fold,delta,adi
0,2,1,0.1,0.5372005044136192
1,2,1,0.01,0.4842370744010088
2,2,2,0.1,0.39470365699873894
3,2,2,0.01,0.3114754098360656
4,2,3,0.1,0.5851197982345523
5,2,3,0.01,0.38209331651954603
6,2,4,0.1,0.3720050441361917
7,2,4,0.01,0.23707440100882723
8,2,5,0.1,0.13745271122320302
9,2,5,0.01,0.0
