,fold,alpha,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.0,0.824212271973466,0.8266666666666667,0.7839116719242902,0.779874213836478,0.0,0.0,53.0742404460907
1,2,0.3,0.8474295190713101,0.7666666666666667,0.805993690851735,0.7232704402515723,0.0,0.0,27.550068140029907
2,3,0.2,0.8452579034941764,0.8289473684210527,0.8012618296529969,0.7924528301886793,0.0,0.0,101.71733951568604
3,4,0.3,0.85,0.8169934640522876,0.8031496062992126,0.7911392405063291,0.0,0.0,117.73762226104736
4,5,0.9,0.8264462809917356,0.8986486486486487,0.7874015748031497,0.8417721518987342,0.0,0.0,175.93113732337952
