,fold,alpha,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.7,0.8441127694859039,0.8333333333333334,0.8028391167192429,0.7861635220125787,0.0,0.0,163.82734632492065
1,2,0.9,0.8606965174129353,0.78,0.8186119873817035,0.7358490566037735,0.0,0.0,257.5317425727844
2,3,0.7,0.8419301164725458,0.8289473684210527,0.7981072555205048,0.7924528301886793,0.0,0.0,167.08763122558594
3,4,0.7,0.7083333333333334,0.6601307189542484,0.6692913385826772,0.6392405063291139,0.0,0.0,111.2037889957428
4,5,0.7,0.6991735537190082,0.75,0.6661417322834645,0.7025316455696202,0.0,0.0,283.01272320747375
