,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.3909375,0.2585,0.9065125,0.864825,,,0.8101565476190383,0.7350336309523767,999,280,0.9375625,0.9299999999999999,1125.2466192245483
1,2,0.430875,0.2675,0.91469375,0.867925,,,0.817665922619053,0.7311854166666625,1801,488,0.8874375,0.878,1125.2411243915558
2,3,0.375,0.227,0.90725,0.8557,,,0.8095077380952296,0.7169449404761865,1159,364,0.9275625,0.909,1104.8388130664825
3,4,0.4573125,0.294,0.9187625,0.8702,,,0.8317999255952317,0.7434446428571405,1038,313,0.935125,0.92175,1109.1460616588593
4,5,0.4405,0.2665,0.91574375,0.866,,,0.8210554315476222,0.7294624999999962,1600,480,0.9,0.88,1107.6358971595764
