,fold,alpha,beta,mse train corrected,mse test corrected,mse train,mse test,violations train,violations test,runtime
0,1,0.45,0.45,20.352673,21.075214,12.373629,11.864428,3514,919,167.25623393058777
1,2,0.49,0.49,48.302956,50.853973,34.266376,36.288185,2947,732,159.1835651397705
2,3,0.45,0.45,20.660473,21.42099,12.683356,12.729088,1392,363,158.17556881904602
3,4,0.49,0.49,32.920162,32.906193,25.65028,26.01186,2044,489,155.4990017414093
4,5,0.45,0.45,20.969347,21.146433,12.996625,12.320915,2047,489,165.8802728652954
