,experiment,fold,delta,adi
0,3,1,0.1,1.0
1,3,1,0.01,0.446
2,3,2,0.1,0.942
3,3,2,0.01,0.857
4,3,3,0.1,1.0
5,3,3,0.01,0.499
6,3,4,0.1,0.975
7,3,4,0.01,0.723
8,3,5,0.1,1.0
9,3,5,0.01,0.463
