,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.0,0.0,0.7584390862944163,0.755578093306288,0.12159052453468616,0.11730899256254251,3940,986,0.0,0.0,42.40375089645386
1,2,0.0,0.0,0.7591505962953565,0.7588197969543147,0.1364797428740582,0.13348561759729308,3941,985,0.0,0.0,43.20990514755249
2,3,0.0,0.0,0.7581990611519919,0.7574238578680204,0.12712932419859516,0.11884940778341824,3941,985,0.0,0.0,42.1644606590271
3,4,0.0,0.0,0.7603875919817306,0.7559644670050761,0.14600355239786786,0.1364974619289343,3941,985,0.0,0.0,42.72083258628845
4,5,0.0,0.0,0.7592140319715808,0.7569162436548224,0.1256703036454356,0.12619289340101558,3941,985,0.0,0.0,43.00404739379883
