,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.12258883248730965,0.10344827586206896,0.6782043147208122,0.6681034482758621,0.27210539037950243,0.2525837921375451,0,0,1.0,1.0,16750.397419452667
1,2,0.1157066734331388,0.13096446700507614,0.6747652879979701,0.6818527918781726,0.2653544543927712,0.2795745709451299,0,0,1.0,1.0,16820.841506004333
2,3,0.12078152753108348,0.11065989847715736,0.6766683582846993,0.6742385786802031,0.2694505866289684,0.2631858834904526,0,0,1.0,1.0,14046.367854595184
3,4,0.17254503933011925,0.15431472081218275,0.7003615833544785,0.6912436548223351,0.31862833943523666,0.30070099105632164,0,0,1.0,1.0,13683.99942111969
4,5,0.11621415884293326,0.12893401015228426,0.6750190307028673,0.6808375634517766,0.2657290269571432,0.2780759004109263,0,0,1.0,1.0,16908.58190703392
