,fold,alpha,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.7,0.027411167512690356,0.036511156186612576,0.6362944162436548,0.6405933062880325,0.18259608411892833,0.191780160339998,0,0,1.0,1.0,227.35811710357666
1,2,0.9,0.10784064958132454,0.10456852791878173,0.6646155798020806,0.659517766497462,0.24731455637317176,0.23911046652163387,0,0,1.0,1.0,232.06930589675903
2,3,0.9,0.008119766556711495,0.007106598984771574,0.5965808170515098,0.5980964467005077,0.12200190911178224,0.124002900652646,0,0,1.0,1.0,231.42630529403687
3,4,0.5,0.0065973103273280894,0.013197969543147208,0.595597564070033,0.6020304568527919,0.12034654003697623,0.13062605752960987,0,0,1.0,1.0,214.6266918182373
4,5,0.7,0.06242070540471961,0.06395939086294417,0.6530702867292565,0.6557106598984772,0.2162612824881287,0.22015953589557616,0,0,1.0,1.0,232.953950881958
