,experiment,fold,delta,adi
0,2,1,0.1,0.3228247162673392
1,2,1,0.01,0.23455233291298866
2,2,2,0.1,0.3354350567465322
3,2,2,0.01,0.2686002522068096
4,2,3,0.1,0.3316519546027743
5,2,3,0.01,0.2673392181588903
6,2,4,0.1,0.35687263556116017
7,2,4,0.01,0.22950819672131148
8,2,5,0.1,0.25851197982345525
9,2,5,0.01,0.08196721311475409
