,fold,alpha,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.9,0.8022284122562674,0.8064516129032258,0.732824427480916,0.7575757575757576,0.0,0.0,56.15681791305542
1,2,0.7,0.8333333333333334,0.6956521739130435,0.7633587786259542,0.6464646464646465,0.0,0.0,30.21749711036682
2,3,0.9,0.7978142076502732,0.8255813953488372,0.7411167512690355,0.7244897959183674,0.0,0.0,34.49770641326904
3,4,0.9,0.7916666666666666,0.8478260869565217,0.7233502538071066,0.7959183673469388,0.0,0.0,27.38522696495056
4,5,0.9,0.7933884297520661,0.8426966292134831,0.7309644670050761,0.7653061224489796,0.0,0.0,43.21403193473816
