,fold,num violations,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,runtime
0,1,34.0,0.8022284122562674,0.8064516129032258,0.732824427480916,0.7575757575757576,0.0,0.0,661.5742602348328
1,2,33.0,0.8305555555555556,0.6956521739130435,0.7608142493638677,0.6464646464646465,0.0,0.0,317.4139895439148
2,3,28.0,0.7978142076502732,0.8255813953488372,0.7411167512690355,0.7244897959183674,0.0,0.0,470.6637477874756
3,4,34.0,0.7916666666666666,0.8478260869565217,0.7233502538071066,0.7959183673469388,0.0,0.0,366.57029366493225
4,5,31.0,0.7933884297520661,0.8426966292134831,0.7309644670050761,0.7653061224489796,0.0,0.0,479.4548966884613
