,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.1064375,0.075,0.82479375,0.7897,,,0.6863553571428506,0.632049404761899,0,0,1.0,1.0,284926.69827866554
1,2,0.1278125,0.07225,0.8406125,0.79165,,,0.7146302827380625,0.6386958333333269,0,0,1.0,1.0,285844.7023367882
2,3,0.125875,0.08225,0.8370125,0.799475,,,0.7045351190476075,0.6477462301587241,0,0,1.0,1.0,247773.0248219967
3,4,0.143625,0.095,0.85160625,0.809525,,,0.7260490327380718,0.659717857142852,0,0,1.0,1.0,263653.26497864723
4,5,0.072625,0.0425,0.79761875,0.7567,,,0.6525718005952346,0.5945916666666605,0,0,1.0,1.0,209672.81708168983
