,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.45425,0.253,0.9186625,0.862025,,,0.8303418898809494,0.7249755952380897,1079,347,0.9325625,0.91325,1107.3843626976013
1,2,0.4155,0.24775,0.91426875,0.8629,,,0.8175694940476225,0.7231642857142816,1805,558,0.8871875,0.8605,1111.7374534606934
2,3,0.435625,0.26,0.91833125,0.86735,,,0.824613541666671,0.7307205357142827,1735,481,0.8915625,0.87975,1109.2973020076752
3,4,0.4389375,0.26975,0.9152875,0.863375,,,0.8218021577380987,0.7276154761904727,1107,335,0.9308125,0.91625,1107.7525100708008
4,5,0.427125,0.25175,0.9150875,0.859975,,,0.8172828869047676,0.7160386904761867,1861,558,0.8836875,0.8605,1112.5499486923218
