,fold,num violations,mse train corrected,mse test corrected,mse train,mse test,violations train,violations test,runtime
0,1,28218,38.06922,39.12417,15.293356,16.063765,0,0,96185.91142868996
1,2,28277,42.460194,40.642467,16.026867,15.900701,0,0,76916.05934977531
2,3,28190,36.02572,40.71583,16.473871,16.280949,0,0,152905.91463661194
3,4,28259,37.941696,40.48316,15.3478985,15.394861,0,0,128007.5535929203
4,5,28324,33.186356,27.602985,16.734943,16.081043,0,0,190928.67179989815
