,fold,alpha,beta,mse train corrected,mse test corrected,mse train,mse test,violations train,violations test,runtime
0,1,0.49,0.49,35.43887,36.104168,27.141169,29.021078,1717,419,307.74807953834534
1,2,0.49,0.49,28.851023,28.95071,23.054962,23.457022,1861,518,289.81278109550476
2,3,0.49,0.49,29.933538,34.708954,24.165188,24.072674,1927,453,290.6334865093231
3,4,0.49,0.49,33.53762,33.81579,26.210526,25.786938,2484,616,298.88050365448
4,5,0.49,0.49,31.505772,26.455896,24.514729,23.190573,2270,578,321.8186368942261
