,experiment,fold,delta,adi
0,5,1,0.1,0.98
1,5,1,0.01,0.791
2,5,2,0.1,0.979
3,5,2,0.01,0.687
4,5,3,0.1,0.981
5,5,3,0.01,0.734
6,5,4,0.1,0.975
7,5,4,0.01,0.736
8,5,5,0.1,0.971
9,5,5,0.01,0.712
