,fold,alpha,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0,0.0,0.0,0.7593274111675127,0.7588742393509128,0.13043147208121733,0.13045977011494286,3940,986,0.0,0.0,50.28509163856506
1,2,0,0.0,0.0,0.7581197665567115,0.7571065989847716,0.1167597056584612,0.11409475465313053,3941,985,0.0,0.0,50.577775716781616
2,3,0,0.0,0.0,0.7579928952042628,0.7591370558375634,0.1371310158166278,0.1387140439932321,3941,985,0.0,0.0,50.014259576797485
3,4,0,0.0,0.0,0.7596897995432631,0.7553934010152284,0.14717499788547686,0.13448392554991578,3941,985,0.0,0.0,50.40089416503906
4,5,0,0.0,0.0,0.7604351687388987,0.7562182741116751,0.1558022498519831,0.14956006768189523,3941,985,0.0,0.0,50.22149300575256
