,experiment,fold,delta,adi
0,4,1,0.1,1.0
1,4,1,0.01,0.51
2,4,2,0.1,0.964
3,4,2,0.01,0.742
4,4,3,0.1,0.963
5,4,3,0.01,0.688
6,4,4,0.1,0.976
7,4,4,0.01,0.673
8,4,5,0.1,0.959
9,4,5,0.01,0.719
