,fold,num violations,mse train corrected,mse test corrected,mse train,mse test,violations train,violations test,runtime
0,1,28243,34.48212,37.805508,16.168201,15.674913,0,0,90858.37472486496
1,2,28269,39.442955,45.888878,15.591654,15.9372635,0,0,56351.23080897331
2,3,28237,41.64608,41.398438,16.280987,15.733296,0,0,84622.40924406052
3,4,28273,38.90116,33.252407,15.960385,17.244648,0,0,140165.83811593056
4,5,28246,36.19089,32.5652,16.535822,16.011967,0,0,123710.78893733025
