,fold,alpha,beta,mse train corrected,mse test corrected,mse train,mse test,violations train,violations test,runtime
0,1,0.49,0.49,28.953638,31.619476,24.21574,23.848291,1516,348,226.15477800369263
1,2,0.49,0.49,30.083313,34.02646,23.275816,23.214363,2883,731,161.5986144542694
2,3,0.49,0.49,28.088303,26.707281,21.888222,20.832396,1807,448,178.73238229751587
3,4,0.49,0.49,46.066406,41.539165,32.49818,33.72027,2887,672,163.32670998573303
4,5,0.49,0.49,34.983273,34.257244,26.35976,26.822216,2536,651,231.2142779827118
