,fold,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.0838297872340426,0.08103448275862067,0.17190000000001374,0.16849999999999662,0,0,8473.141252040863
1,2,0.07145877378435506,0.040707964601769925,0.1740875000000134,0.17481666666666337,0,0,6021.3894917964935
2,3,0.06957958888544567,0.09119999999999999,0.20014017857144312,0.20126428571428243,0,0,6986.772440195084
3,4,0.16996375717305964,0.1695638432364096,0.30236681547617805,0.3029702380952396,0,0,12537.272150278091
4,5,0.08550015295197305,0.07563025210084034,0.2263883928571637,0.22226071428571506,0,0,6769.635093450546
