,fold,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.4560173632771877,0.4576923076923077,0.39014464285712275,0.3885845238095293,7355,1808,202.9558413028717
1,2,0.3357040670345384,0.3049366535605068,0.25687678571428546,0.24758988095237963,10624,2608,192.99279952049255
2,3,0.3630663302848728,0.3522443403590947,0.33889084821427135,0.3395988095238142,7343,1910,203.95864725112915
3,4,0.5389645151422453,0.5434523809523808,0.49517867063490767,0.4908910714285717,4936,1206,203.30601263046265
4,5,0.45064092522974053,0.47353941576630637,0.4650201636904632,0.45796130952381064,5352,1338,203.7177107334137
