,fold,num violations,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,runtime
0,1,35.0,0.7960893854748603,0.8279569892473119,0.7251908396946565,0.7777777777777778,0.0,0.0,574.6787960529327
1,2,26.0,0.8010899182561307,0.8095238095238095,0.7480916030534351,0.6868686868686869,0.0,0.0,507.8698751926422
2,3,36.0,0.7960893854748603,0.8279569892473119,0.7233502538071066,0.7857142857142857,0.0,0.0,430.4705264568329
3,4,31.0,0.8016528925619835,0.8068181818181818,0.7385786802030457,0.7244897959183674,0.0,0.0,416.06048941612244
4,5,36.0,0.8184357541899442,0.7419354838709677,0.7436548223350253,0.7040816326530612,0.0,0.0,417.9150321483612
