,fold,alpha,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.9,0.06218274111675127,0.06693711967545639,0.6563451776649746,0.6551724137931034,0.21970026589316036,0.2200811359026369,0,0,1.0,1.0,402.2852509021759
1,2,0.9,0.11063181933519411,0.09340101522842639,0.6648693225069779,0.658502538071066,0.2484624400381826,0.23451776649746192,0,0,1.0,1.0,418.441694021225
2,3,0.7,0.01801573204770363,0.016243654822335026,0.6247462572951028,0.6218274111675127,0.16419569604040668,0.15948755136572335,0,0,1.0,1.0,459.34363055229187
3,4,0.7,0.02182187262116214,0.023350253807106598,0.6133278355747273,0.6142131979695431,0.1493457063109454,0.15078559342518652,0,0,1.0,1.0,462.457172870636
4,5,0.7,0.01801573204770363,0.016243654822335026,0.623572697284953,0.6265228426395939,0.16261282488128578,0.1658206429780028,0,0,1.0,1.0,398.8468511104584
