,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.0,0.0,0.7594067258883249,0.7566556795131846,0.13239424703891614,0.1282285327924277,3940,986,32.96811890602112
1,2,0.0,0.0,0.7600386957624968,0.7548857868020304,0.1473864501395579,0.13610829103214922,3941,985,33.46134328842163
2,3,0.0,0.0,0.7579136006089825,0.7581218274111675,0.1318912289604998,0.126598984771574,3941,985,30.68905282020569
3,4,0.0,0.0,0.7590237249429079,0.7576776649746193,0.12972595787871014,0.13241962774957733,3941,985,33.34833335876465
4,5,0.0,0.0,0.7589127125095153,0.7543147208121828,0.15080774761058907,0.1374450084602373,3941,985,33.643885135650635
