,fold,alpha,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.05,0.16878172588832488,0.16937119675456389,0.6976205583756345,0.7022058823529411,0.31371766980903604,0.3203419298753992,0,0,1.0,1.0,38.063586473464966
1,2,0.05,0.0,0.0,0.75,0.75,0.0,0.0,3941,985,0.0,0.0,30.310469388961792
2,3,0.9,0.004567368688150216,0.0020304568527918783,0.5751078406495813,0.575,0.09351022824760587,0.09238578680203026,0,0,1.0,1.0,30.339545965194702
3,4,0.05,0.0,0.0,0.75,0.75,0.0,0.0,3941,985,0.0,0.0,30.212249517440796
4,5,0.7,0.002537427048972342,0.0040609137055837565,0.5806267444810962,0.5815989847715736,0.09955172122135028,0.10200628474740113,0,0,1.0,1.0,29.821417331695557
