,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.11624365482233502,0.12880324543610547,0.6751269035532995,0.6804006085192698,0.11624365482233502,0.12880324543610547,0,0,10709.328622817993
1,2,0.12002029941639178,0.11370558375634518,0.6777150469424004,0.6700507614213198,0.12002029941639178,0.11370558375634518,0,0,12363.27194905281
2,3,0.12078152753108348,0.11065989847715736,0.6767000761228115,0.6741116751269035,0.12078152753108348,0.11065989847715736,0,0,11054.501172304153
3,4,0.11799035777721391,0.1218274111675127,0.6752727734077645,0.6798223350253807,0.11799035777721391,0.1218274111675127,0,0,13385.788911104202
4,5,0.11875158589190561,0.11878172588832488,0.6760974371986805,0.676522842639594,0.11875158589190561,0.11878172588832488,0,0,15415.592883825302
