,fold,alpha,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.9,0.8344370860927153,0.7972972972972973,0.7949526813880127,0.7421383647798742,0.0,0.0,194.92605113983154
1,2,0.5,0.840531561461794,0.8666666666666667,0.7981072555205048,0.8176100628930818,0.0,0.0,113.51834917068481
2,3,0.9,0.7216666666666667,0.6381578947368421,0.6829652996845426,0.610062893081761,0.0,0.0,230.1133770942688
3,4,0.9,0.6837748344370861,0.722972972972973,0.6503937007874016,0.6772151898734177,0.0,0.0,115.37599468231201
4,5,0.9,0.8260869565217391,0.8766233766233766,0.7779527559055118,0.8544303797468354,0.0,0.0,240.50360584259033
