,experiment,fold,delta,adi
0,5,1,0.1,0.2597730138713745
1,5,1,0.01,0.2597730138713745
2,5,2,0.1,0.30012610340479196
3,5,2,0.01,0.15258511979823455
4,5,3,0.1,0.2723833543505675
5,5,3,0.01,0.1450189155107188
6,5,4,0.1,0.13745271122320302
7,5,4,0.01,0.10844892812105927
8,5,5,0.1,0.17528373266078184
9,5,5,0.01,0.11223203026481715
