,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.12258883248730965,0.10344827586206896,0.6782043147208122,0.6681034482758621,0.12258883248730965,0.10344827586206896,0,0,15983.502754211426
1,2,0.1157066734331388,0.13096446700507614,0.6747652879979701,0.6818527918781726,0.1157066734331388,0.13096446700507614,0,0,11781.202103614807
2,3,0.12078152753108348,0.11065989847715736,0.6766683582846993,0.6742385786802031,0.12078152753108348,0.11065989847715736,0,0,10339.337181568146
3,4,0.11849784318700837,0.11979695431472082,0.6762560263892413,0.6758883248730965,0.11849784318700837,0.11979695431472082,0,0,15791.702466964722
4,5,0.11621415884293326,0.12893401015228426,0.6750190307028673,0.6808375634517766,0.11621415884293326,0.12893401015228426,0,0,14429.560415506363
