,fold,alpha,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.9,0.02766497461928934,0.030425963488843813,0.5969860406091371,0.5912778904665315,0.13217307227459632,0.1258089442673615,0,0,1.0,1.0,787.1908793449402
1,2,0.05,0.05201725450393301,0.05786802030456853,0.7385498604415123,0.7405456852791878,0.18657459431374793,0.18766014019821137,2749,708,0.30246130423750317,0.2812182741116751,612.5966427326202
2,3,0.05,0.0,0.0,0.75,0.75,0.0,0.0,3941,985,0.0,0.0,616.0386266708374
3,4,0.05,0.0,0.0,0.75,0.75,0.0,0.0,3941,985,0.0,0.0,614.0935831069946
4,5,0.05,0.0,0.0,0.7260530322253235,0.7299492385786802,0.18997716315656116,0.198578680203045,3941,985,0.0,0.0,609.7160406112671
