,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.0,0.0,0.7590101522842639,0.7556414807302231,0.12701776649746105,0.12180527383367168,3940,986,34.013827323913574
1,2,0.0,0.0,0.7587541233189545,0.7590736040609137,0.14220164086949102,0.14243654822335056,3941,985,31.02753257751465
2,3,0.0,0.0,0.7585955341283938,0.7570431472081218,0.15178888606952493,0.14448392554991565,3941,985,33.41124224662781
3,4,0.0,0.0,0.7583576503425526,0.7544416243654822,0.12437621585046056,0.11404399323181075,3941,985,33.919206619262695
4,5,0.0,0.0,0.7592140319715808,0.7569162436548224,0.1256703036454356,0.12619289340101558,3941,985,33.66002941131592
