,fold,num violations,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,runtime
0,1,33.0,0.8138888888888889,0.7555555555555555,0.7455470737913485,0.6868686868686869,0.0,0.0,490.8865442276001
1,2,38.0,0.7915492957746478,0.8421052631578947,0.7150127226463104,0.8080808080808081,0.0,0.0,386.6703460216522
2,3,28.0,0.7950819672131147,0.8333333333333334,0.7385786802030457,0.7142857142857143,0.0,0.0,263.99830317497253
3,4,34.0,0.8111111111111111,0.7666666666666667,0.7411167512690355,0.7040816326530612,0.0,0.0,348.85753417015076
4,5,35.0,0.7994428969359332,0.8131868131868132,0.7284263959390863,0.7551020408163265,0.0,0.0,406.9979248046875
