,fold,alpha,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.9,0.8138888888888889,0.7555555555555555,0.7455470737913485,0.6868686868686869,0.0,0.0,30.215591430664062
1,2,0.9,0.8112676056338028,0.8210526315789474,0.732824427480916,0.7878787878787878,0.0,0.0,54.86590313911438
2,3,0.9,0.7950819672131147,0.8333333333333334,0.7385786802030457,0.7142857142857143,0.0,0.0,39.979039669036865
3,4,0.9,0.8305555555555556,0.7555555555555555,0.7588832487309645,0.6938775510204082,0.0,0.0,162.07750391960144
4,5,0.7,0.8022284122562674,0.8131868131868132,0.7309644670050761,0.7551020408163265,0.0,0.0,30.42582893371582
