,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.4745625,0.2625,0.92315625,0.8622,,,0.8363744047619046,0.723632440476188,1423,471,0.9110625,0.88225,2941.4793441295624
1,2,0.5045,0.29075,0.92963125,0.871125,,,0.8475955357142851,0.7388872023809475,1471,428,0.9080625,0.893,2945.868933916092
2,3,0.4803125,0.264,0.92423125,0.862975,,,0.8408563988095197,0.7278482142857103,1314,412,0.917875,0.897,2939.1610927581787
3,4,0.290125,0.1885,0.8832,0.843925,,,0.7532834821428702,0.6825547619047565,2606,729,0.837125,0.81775,2944.8827900886536
4,5,0.486875,0.2895,0.92569375,0.874,,,0.8427061011904734,0.7461369047618985,1333,376,0.9166875,0.906,2636.191038131714
