,fold,alpha,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.9,0.706953642384106,0.6418918918918919,0.6735015772870663,0.5974842767295597,0.0,0.0,279.5789294242859
1,2,0.9,0.8355481727574751,0.84,0.7933753943217665,0.7924528301886793,0.0,0.0,184.72345876693726
2,3,0.9,0.6944908180300501,0.6928104575163399,0.6561514195583596,0.6666666666666666,0.0,0.0,283.3059175014496
3,4,0.7,0.7086092715231788,0.722972972972973,0.6740157480314961,0.6772151898734177,0.0,0.0,91.44438052177429
4,5,0.9,0.6828046744574291,0.738562091503268,0.6440944881889764,0.7151898734177216,0.0,0.0,186.05649137496948
