,experiment,fold,delta,adi
0,4,1,0.1,0.2635561160151324
1,4,1,0.01,0.2597730138713745
2,4,2,0.1,0.15762925598991173
3,4,2,0.01,0.2509457755359395
4,4,3,0.1,0.19167717528373265
5,4,3,0.01,0.08575031525851198
6,4,4,0.1,0.30138713745271123
7,4,4,0.01,0.2547288776796974
8,4,5,0.1,0.2597730138713745
9,4,5,0.01,0.25346784363177804
