,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.0561875,0.04325,0.7731375,0.750075,,,0.6104570684524069,0.5788274801587205,0,0,1.0,1.0,213999.18410110474
1,2,0.0861875,0.0525,0.8132125,0.775275,,,0.6744963293650735,0.6185702380952304,0,0,1.0,1.0,228947.00617694855
2,3,0.1154375,0.0775,0.83229375,0.796625,,,0.6977133184523715,0.6428479166666603,0,0,1.0,1.0,189195.98830413818
3,4,0.083,0.04625,0.8076,0.769775,,,0.6677213541666621,0.6118124007936419,0,0,1.0,1.0,255770.09727597237
4,5,0.1260625,0.0805,0.840175,0.801525,,,0.7103501488095045,0.6509547619047578,0,0,1.0,1.0,244616.7719051838
