,fold,alpha,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.9,0.16878172588832488,0.16937119675456389,0.6984454314720813,0.6989097363083164,0.3149383611312502,0.31546411668115604,0,0,1.0,1.0,847.9441344738007
1,2,0.2,0.18218726211621417,0.16852791878172588,0.7382643998985029,0.7352791878172589,0.3164449438745267,0.3079236161469672,868,220,0.7797513321492007,0.7766497461928934,613.1847996711731
2,3,0.05,0.0,0.0,0.75,0.75,0.0,0.0,3941,985,0.0,0.0,614.0677933692932
3,4,0.3,0.1662014717076884,0.15837563451776648,0.7140002537427049,0.7032994923857868,0.3137220429912603,0.2983562968334546,422,98,0.8929205785333671,0.900507614213198,611.2285485267639
4,5,0.05,0.10479573712255773,0.10456852791878173,0.7524898502918042,0.7475253807106599,0.24143860030690828,0.23284747401498662,2417,609,0.3867038822633849,0.3817258883248731,613.3647935390472
