,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.0,0.0,0.7594067258883249,0.7586206896551724,0.13847292724196206,0.13593644354293466,3940,986,32.817713260650635
1,2,0.0,0.0,0.75986424765288,0.756979695431472,0.14464179988158624,0.1486632825719121,3941,985,32.60936260223389
2,3,0.0,0.0,0.7600862725196651,0.7567258883248731,0.1581958893681803,0.15201353637901885,3941,985,32.209909439086914
3,4,0.0,0.0,0.7583735092616087,0.7566624365482234,0.14246807070963305,0.13475465313028803,3941,985,31.923399686813354
4,5,0.0,0.0,0.7598483887338239,0.7567893401015229,0.12604245961261842,0.1188663282571915,3941,985,33.110767126083374
