,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.11878172588832488,0.11866125760649088,0.6764593908629442,0.6750760649087221,0.26861252115059325,0.26654109919830027,0,0,13453.085432767868
1,2,0.11799035777721391,0.1218274111675127,0.6757485409794468,0.6779187817258884,0.2672273172146312,0.2720812182741122,0,0,20477.514786481857
2,3,0.1164679015478305,0.12791878172588833,0.6752093377315402,0.6800761421319796,0.2663331762545174,0.2756586898718886,0,0,12940.650200843811
3,4,0.11824410048211113,0.12081218274111676,0.675589951788886,0.6785532994923857,0.26723940020057874,0.2720328740633315,0,0,13806.391880750656
4,5,0.12230398376046689,0.10456852791878173,0.6779053539710733,0.6692893401015229,0.2715771921557263,0.2546773023930389,0,0,17552.255727767944
