,experiment,fold,delta,adi
0,4,1,0.1,0.0
1,4,1,0.01,0.0
2,4,2,0.1,0.0
3,4,2,0.01,0.0
4,4,3,0.1,0.0
5,4,3,0.01,0.0
6,4,4,0.1,0.0
7,4,4,0.01,0.0
8,4,5,0.1,0.0
9,4,5,0.01,0.0
