,fold,num violations,mse train corrected,mse test corrected,mse train,mse test,violations train,violations test,runtime
0,1,28309,37.426994,36.304775,17.058285,16.021114,0,0,164471.19308257103
1,2,28182,38.678463,48.61942,15.598538,16.71877,0,0,128328.55301308632
2,3,28277,40.191082,38.017624,15.930264,15.234346,0,0,59940.337054252625
3,4,28249,35.65623,30.562143,16.360344,16.821777,0,0,124155.94367218018
4,5,28251,39.691906,39.932716,15.737925,15.878456,0,0,95958.13290190697
