,experiment,fold,delta,adi
0,2,1,0.1,0.967
1,2,1,0.01,0.706
2,2,2,0.1,1.0
3,2,2,0.01,0.541
4,2,3,0.1,1.0
5,2,3,0.01,0.495
6,2,4,0.1,0.975
7,2,4,0.01,0.784
8,2,5,0.1,0.99
9,2,5,0.01,0.773
