,fold,alpha,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.7,0.028934010152284265,0.030425963488843813,0.6368020304568528,0.6385649087221096,0.18397389412617965,0.18627450980392138,0,0,1.0,1.0,202.55705881118774
1,2,0.3,0.06242070540471961,0.06395939086294417,0.6543390002537427,0.6506345177664975,0.21796498350672466,0.2133430021754892,0,0,1.0,1.0,206.19655966758728
2,3,0.7,0.029941639177873635,0.02131979695431472,0.5972151738137529,0.5903553299492386,0.13344449680405138,0.12071549431955464,0,0,1.0,1.0,200.1360170841217
3,4,0.7,0.017254503933011926,0.009137055837563452,0.6373699568637402,0.6381979695431472,0.17937192639045124,0.1783901377810004,0,0,1.0,1.0,199.43909549713135
4,5,0.7,0.002537427048972342,0.0040609137055837565,0.5806267444810962,0.5815989847715736,0.09955172122135028,0.10200628474740113,0,0,1.0,1.0,195.26221871376038
