,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.11624365482233502,0.12880324543610547,0.6751269035532995,0.6804006085192698,0.2659052453468711,0.2773592195498893,0,0,1.0,1.0,12276.040759801865
1,2,0.12002029941639178,0.11370558375634518,0.6777150469424004,0.6700507614213198,0.2705984702939798,0.2585931834662804,0,0,1.0,1.0,17545.074595928192
2,3,0.12078152753108348,0.11065989847715736,0.6767000761228115,0.6741116751269035,0.26970432933386596,0.2621706550640565,0,0,1.0,1.0,23978.85614848137
3,4,0.06089824917533621,0.0751269035532995,0.6482491753362091,0.6483502538071066,0.2089510759898988,0.2134880348078314,0,0,1.0,1.0,28754.467795610428
4,5,0.11875158589190561,0.11878172588832488,0.6760974371986805,0.676522842639594,0.2682302050482726,0.26806864877930886,0,0,1.0,1.0,8674.659183740616
