,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.0,0.0,0.7582011421319796,0.7580502028397565,0.1423096446700502,0.14557133198106853,3940,986,0.0,0.0,39.85513663291931
1,2,0.0,0.0,0.7594836335955342,0.754758883248731,0.14165609405396193,0.13375634517766533,3941,985,0.0,0.0,40.41311073303223
2,3,0.0,0.0,0.7589444303476275,0.7567258883248731,0.1375539203247898,0.12852791878172629,3941,985,0.0,0.0,40.140990257263184
3,4,0.0,0.0,0.7591188784572444,0.7610406091370558,0.12526008627251878,0.1343993231810493,3941,985,0.0,0.0,39.66485929489136
4,5,0.0,0.0,0.7591505962953565,0.7550126903553299,0.12616933096506694,0.11526226734348591,3941,985,0.0,0.0,40.90608191490173
