,experiment,fold,delta,adi
0,1,1,0.1,0.0
1,1,1,0.01,0.0
2,1,2,0.1,0.0
3,1,2,0.01,0.0
4,1,3,0.1,0.0
5,1,3,0.01,0.0
6,1,4,0.1,0.0
7,1,4,0.01,0.0
8,1,5,0.1,0.014227642276422764
9,1,5,0.01,0.006097560975609756
