,fold,num violations,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,runtime
0,1,37.0,0.7865168539325843,0.8617021276595744,0.712468193384224,0.8181818181818182,0.0,0.0,478.60140895843506
1,2,31.0,0.8121546961325967,0.7613636363636364,0.7480916030534351,0.6767676767676768,0.0,0.0,481.6993923187256
2,3,31.0,0.8016528925619835,0.8045977011494253,0.7385786802030457,0.7142857142857143,0.0,0.0,669.372241973877
3,4,38.0,0.8089887640449438,0.776595744680851,0.7309644670050761,0.7448979591836735,0.0,0.0,292.80986523628235
4,5,31.0,0.7988980716253443,0.8045977011494253,0.7360406091370558,0.7142857142857143,0.0,0.0,446.41631841659546
