,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.4393125,0.27375,0.916925,0.867825,,,0.8260898809523799,0.7365919642857105,1199,354,0.9250625,0.9115,2827.8353662490845
1,2,0.2986875,0.19175,0.8903875,0.847475,,,0.770546875000007,0.6939907738095181,2162,621,0.8648750000000001,0.84475,2818.007758617401
2,3,0.2795625,0.19075,0.8835,0.84495,,,0.7562018601190587,0.6878035714285661,2417,641,0.8489375,0.83975,2823.8073682785034
3,4,0.4254375,0.25825,0.91369375,0.865675,,,0.8188875000000007,0.7308604166666622,1251,392,0.9218125,0.902,2820.902803182602
4,5,0.3960625,0.22325,0.907875,0.85155,,,0.8058029761904811,0.7044577380952332,1659,476,0.8963125,0.881,2574.172977209091
