,experiment,fold,delta,adi
0,1,1,0.1,0.27112232030264816
1,1,1,0.01,0.2610340479192938
2,1,2,0.1,0.2723833543505675
3,1,2,0.01,0.17654476670870115
4,1,3,0.1,0.266078184110971
5,1,3,0.01,0.1021437578814628
6,1,4,0.1,0.4047919293820933
7,1,4,0.01,0.31651954602774274
8,1,5,0.1,0.5145018915510718
9,1,5,0.01,0.3720050441361917
