,fold,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0.11954314720812183,0.11561866125760649,0.6755393401015228,0.6787525354969574,0.26766980904036863,0.27030812324930004,0,0,1.0,1.0,15647.07978630066
1,2,0.12179649835067242,0.1065989847715736,0.6773027150469424,0.6717005076142132,0.2706830511956121,0.2582547739908152,0,0,1.0,1.0,13642.479016780853
2,3,0.06445064704389748,0.05583756345177665,0.6533240294341538,0.6546954314720812,0.2171675064341902,0.21653372008701952,0,0,1.0,1.0,28349.737556695938
3,4,0.1172291296625222,0.12487309644670051,0.6761291550367927,0.6763959390862944,0.2675777238071084,0.27067923616147016,0,0,1.0,1.0,26006.52183032036
4,5,0.12103527023598072,0.10964467005076142,0.677619893428064,0.6704314720812182,0.27085221299887696,0.2575779550398846,0,0,1.0,1.0,23790.12514925003
