,fold,alpha,accuracy train coherent,accuracy test coherent,accuracy train incoherent,accuracy test incoherent,accuracy train,accuracy test,violations train,violations test,constraint accuracy train,constraint accuracy test,runtime
0,1,0,0.0,0.0,0.7589308375634518,0.7577966531440162,0.14485617597292666,0.13732251521298194,3940,986,0.0,0.0,67.18301630020142
1,2,0,0.0,0.0,0.759245749809693,0.7578680203045686,0.1311088556203999,0.13329949238578714,3941,985,0.0,0.0,69.30351495742798
2,3,0,0.0,0.0,0.7584369449378331,0.7576142131979695,0.13903408610335724,0.1329780033840951,3941,985,0.0,0.0,69.63739132881165
3,4,0,0.0,0.0,0.7593091854859173,0.7565355329949238,0.12201640869491553,0.1151099830795265,3941,985,0.0,0.0,67.57951092720032
4,5,0,0.0,0.0,0.758833417914235,0.7557106598984772,0.1376385012264223,0.13576988155668396,3941,985,0.0,0.0,70.1218090057373
