,experiment,fold,delta,adi
0,5,1,0.1,0.006097560975609756
1,5,1,0.01,0.0
2,5,2,0.1,0.008130081300813009
3,5,2,0.01,0.0040650406504065045
4,5,3,0.1,0.0
5,5,3,0.01,0.0
6,5,4,0.1,0.0
7,5,4,0.01,0.0
8,5,5,0.1,0.0
9,5,5,0.01,0.0
