,fold,alpha,accuracy train corrected,accuracy test corrected,accuracy train,accuracy test,violations train,violations test,runtime
0,1,0.9,0.8194444444444444,0.7555555555555555,0.7506361323155216,0.6868686868686869,0.0,0.0,93.56142354011536
1,2,0.9,0.8253521126760563,0.8315789473684211,0.7455470737913485,0.797979797979798,0.0,0.0,145.3807327747345
2,3,0.9,0.7978142076502732,0.8214285714285714,0.7411167512690355,0.7040816326530612,0.0,0.0,23.478678703308105
3,4,0.9,0.8111111111111111,0.7666666666666667,0.7411167512690355,0.7040816326530612,0.0,0.0,49.983431577682495
4,5,0.9,0.7994428969359332,0.8131868131868132,0.7284263959390863,0.7551020408163265,0.0,0.0,30.777690649032593
