,fold,alpha,beta,mse train corrected,mse test corrected,mse train,mse test,violations train,violations test,runtime
0,1,0.45,0.45,20.825846,21.889704,12.161241,13.875811,946,230,165.41011548042297
1,2,0.49,0.49,34.185383,33.426903,26.053228,27.051535,2266,586,158.74882912635803
2,3,0.49,0.49,30.992289,34.2867,23.82993,24.522694,2886,698,157.1725833415985
3,4,0.49,0.49,29.35083,29.918573,23.211912,21.585768,2486,566,159.01344513893127
4,5,0.49,0.49,35.803093,30.338207,26.801182,25.115088,2460,637,168.5536346435547
